,海报图片,电影名称,信息,评分,评价人数,短评
53,https://movie.douban.com/subject/1293839/,罗马假日,导演: 威廉·惠勒 William Wyler 主演: 奥黛丽·赫本 Audrey Hepburn / 格... 1953 / 美国 / 喜剧 剧情 爱情,9.1,980893人评价,爱情哪怕只有一天。
54,https://movie.douban.com/subject/1291571/,指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩... 2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,9.1,882493人评价,传说的开始。
55,https://movie.douban.com/subject/1291843/,黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski 主... 1999 / 美国 / 动作 科幻,9.1,870407人评价,视觉革命。
56,https://movie.douban.com/subject/1291828/,天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 菲利普·努瓦雷 Philipp... 1988 / 意大利 法国 / 剧情 爱情,9.2,698631人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
57,https://movie.douban.com/subject/1299131/,教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A... 1974 / 美国 / 剧情 犯罪,9.3,578769人评价,优雅的孤独。
58,https://movie.douban.com/subject/1301753/,狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff 主演: 乔纳森·泰勒·托马... 1994 / 美国 / 动画 冒险 歌舞,9.1,881577人评价,动物版《哈姆雷特》。
59,https://movie.douban.com/subject/21937445/,辩护人,导演: 杨宇硕 Woo-seok Yang 主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae... 2013 / 韩国 / 剧情,9.2,612566人评价,电影的现实意义大过电影本身。
60,https://movie.douban.com/subject/1291818/,饮食男女,导演: 李安 Ang Lee 主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴... 1994 / 中国台湾 美国 / 剧情 家庭,9.2,650437人评价,人生不能像做菜，把所有的料都准备好了才下锅。
61,https://movie.douban.com/subject/1292000/,搏击俱乐部,导演: 大卫·芬奇 David Fincher 主演: 爱德华·诺顿 Edward Norton / 布拉... 1999 / 美国 / 剧情 动作 悬疑 惊悚,9.0,881938人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
62,https://movie.douban.com/subject/1485260/,本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher 主演: 凯特·布兰切特 Cate Blanchett / ... 2008 / 美国 / 剧情 爱情 奇幻,9.0,1022255人评价,在时间之河里感受溺水之苦。
63,https://movie.douban.com/subject/1306029/,美丽心灵,导演: 朗·霍华德 Ron Howard 主演: 罗素·克劳 Russell Crowe / 艾德·哈... 2001 / 美国 / 传记 剧情,9.1,797422人评价,爱是一切逻辑和原由。
64,https://movie.douban.com/subject/3008247/,穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman 主演: 阿萨·巴特菲尔德 Asa Butterfield ... 2008 / 英国 美国 / 剧情 战争,9.2,591329人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
65,https://movie.douban.com/subject/1900841/,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck &n... 2006 / 德国 / 剧情 悬疑,9.2,586452人评价,别样人生。
66,https://movie.douban.com/subject/1292220/,情书,导演: 岩井俊二 Shunji Iwai 主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets... 1995 / 日本 / 剧情 爱情,8.9,1169085人评价,暗恋的极致。
67,https://movie.douban.com/subject/1293350/,两杆大烟枪,导演: 盖·里奇 Guy Ritchie 主演: 杰森·弗莱明 Jason Flemyng / 德克斯特... 1998 / 英国 / 剧情 喜剧 犯罪,9.1,619467人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
68,https://movie.douban.com/subject/1292402/,西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 莫妮卡·贝鲁奇 Monica ... 2000 / 意大利 美国 / 剧情 战争 情色,8.9,1013618人评价,美丽无罪。
69,https://movie.douban.com/subject/1294408/,音乐之声,导演: 罗伯特·怀斯 Robert Wise 主演: 朱莉·安德鲁斯 Julie Andrews / 克... 1965 / 美国 / 剧情 传记 爱情 歌舞,9.1,628175人评价,用音乐化解仇恨，让歌声串起美好。
